Country name,Regional indicator,Healthy life expectancy,Freedom to make life choices
Finland,Western Europe,72,0.949
Denmark,Western Europe,72.7,0.946
Switzerland,Western Europe,74.4,0.919
Iceland,Western Europe,73,0.955
Netherlands,Western Europe,72.4,0.913
Norway,Western Europe,73.3,0.96
Sweden,Western Europe,72.7,0.945
Luxembourg,Western Europe,72.6,0.907
New Zealand,North America and ANZ,73.4,0.929
Austria,Western Europe,73.3,0.908
Australia,North America and ANZ,73.9,0.914
Israel,Middle East and North Africa,73.503,0.8
Germany,Western Europe,72.5,0.875
Canada,North America and ANZ,73.8,0.915
Ireland,Western Europe,72.4,0.879
Costa Rica,Latin America and Caribbean,71.4,0.934
United Kingdom,Western Europe,72.5,0.859
Czech Republic,Central and Eastern Europe,70.807,0.858
United States,North America and ANZ,68.2,0.837
Belgium,Western Europe,72.199,0.783
France,Western Europe,74,0.822
Bahrain,Middle East and North Africa,69.495,0.925
Malta,Western Europe,72.2,0.927
Taiwan Province of China,East Asia,69.6,0.784
United Arab Emirates,Middle East and North Africa,67.333,0.932
Saudi Arabia,Middle East and North Africa,66.603,0.877
Spain,Western Europe,74.7,0.761
Italy,Western Europe,73.8,0.693
Slovenia,Central and Eastern Europe,71.4,0.949
Guatemala,Latin America and Caribbean,64.958,0.906
Uruguay,Latin America and Caribbean,69.1,0.896
Singapore,Southeast Asia,76.953,0.927
Kosovo,Central and Eastern Europe,63.813,0.869
Slovakia,Central and Eastern Europe,69.201,0.766
Brazil,Latin America and Caribbean,66.601,0.804
Mexico,Latin America and Caribbean,68.597,0.862
Jamaica,Latin America and Caribbean,67.5,0.89
Lithuania,Central and Eastern Europe,67.906,0.773
Cyprus,Western Europe,73.898,0.763
Estonia,Central and Eastern Europe,68.8,0.909
Panama,Latin America and Caribbean,69.652,0.872
Uzbekistan,Commonwealth of Independent States,65.255,0.97
Chile,Latin America and Caribbean,70,0.742
Poland,Central and Eastern Europe,69.702,0.841
Kazakhstan,Commonwealth of Independent States,65.2,0.853
Romania,Central and Eastern Europe,67.355,0.845
Kuwait,Middle East and North Africa,66.9,0.867
Serbia,Central and Eastern Europe,68.6,0.778
El Salvador,Latin America and Caribbean,66.402,0.888
Mauritius,Sub-Saharan Africa,66.701,0.867
Latvia,Central and Eastern Europe,67.1,0.715
Colombia,Latin America and Caribbean,68.001,0.837
Hungary,Central and Eastern Europe,68,0.755
Thailand,Southeast Asia,67.401,0.884
Nicaragua,Latin America and Caribbean,67.657,0.836
Japan,East Asia,75.1,0.796
Argentina,Latin America and Caribbean,69,0.828
Portugal,Western Europe,72.6,0.892
Honduras,Latin America and Caribbean,67.3,0.857
Croatia,Central and Eastern Europe,70.799,0.754
Philippines,Southeast Asia,62,0.917
South Korea,East Asia,73.9,0.672
Peru,Latin America and Caribbean,68.25,0.822
Bosnia and Herzegovina,Central and Eastern Europe,68.098,0.706
Moldova,Commonwealth of Independent States,65.699,0.822
Ecuador,Latin America and Caribbean,68.8,0.842
Kyrgyzstan,Commonwealth of Independent States,64.401,0.935
Greece,Western Europe,72.6,0.582
Bolivia,Latin America and Caribbean,63.901,0.875
Mongolia,East Asia,62.5,0.708
Paraguay,Latin America and Caribbean,65.9,0.876
Montenegro,Central and Eastern Europe,68.699,0.708
Dominican Republic,Latin America and Caribbean,66.102,0.86
North Cyprus,Western Europe,73.898,0.795
Belarus,Commonwealth of Independent States,66.253,0.65
Russia,Commonwealth of Independent States,64.703,0.718
Hong Kong S.A.R. of China,East Asia,76.82,0.717
Tajikistan,Commonwealth of Independent States,64.281,0.832
Vietnam,Southeast Asia,68.034,0.94
Libya,Middle East and North Africa,62.3,0.771
Malaysia,Southeast Asia,67.102,0.895
Indonesia,Southeast Asia,62.236,0.873
Congo (Brazzaville),Sub-Saharan Africa,58.221,0.695
China,East Asia,69.593,0.904
Ivory Coast,Sub-Saharan Africa,50.114,0.741
Armenia,Commonwealth of Independent States,67.055,0.825
Nepal,South Asia,64.233,0.782
Bulgaria,Central and Eastern Europe,67,0.788
Maldives,South Asia,70.6,0.854
Azerbaijan,Commonwealth of Independent States,65.656,0.814
Cameroon,Sub-Saharan Africa,53.515,0.731
Senegal,Sub-Saharan Africa,59.802,0.695
Albania,Central and Eastern Europe,68.999,0.785
North Macedonia,Central and Eastern Europe,65.474,0.751
Ghana,Sub-Saharan Africa,57.586,0.807
Niger,Sub-Saharan Africa,53.78,0.806
Turkmenistan,Commonwealth of Independent States,62.409,0.877
Gambia,Sub-Saharan Africa,55.16,0.697
Benin,Sub-Saharan Africa,54.713,0.757
Laos,Southeast Asia,58.968,0.91
Bangladesh,South Asia,64.8,0.877
Guinea,Sub-Saharan Africa,55.008,0.697
South Africa,Sub-Saharan Africa,56.904,0.749
Turkey,Middle East and North Africa,67.199,0.576
Pakistan,South Asia,58.709,0.726
Morocco,Middle East and North Africa,66.208,0.774
Venezuela,Latin America and Caribbean,66.7,0.615
Georgia,Commonwealth of Independent States,64.3,0.783
Algeria,Middle East and North Africa,66.005,0.48
Ukraine,Commonwealth of Independent States,64.902,0.724
Iraq,Middle East and North Africa,60.583,0.63
Gabon,Sub-Saharan Africa,59.962,0.731
Burkina Faso,Sub-Saharan Africa,54.151,0.695
Cambodia,Southeast Asia,62,0.959
Mozambique,Sub-Saharan Africa,54.706,0.882
Nigeria,Sub-Saharan Africa,50.102,0.737
Mali,Sub-Saharan Africa,51.969,0.697
Iran,Middle East and North Africa,66.3,0.608
Uganda,Sub-Saharan Africa,56.101,0.709
Liberia,Sub-Saharan Africa,56.498,0.735
Kenya,Sub-Saharan Africa,60.704,0.779
Tunisia,Middle East and North Africa,67.201,0.656
Lebanon,Middle East and North Africa,67.355,0.525
Namibia,Sub-Saharan Africa,56.799,0.719
Palestinian Territories,Middle East and North Africa,62.25,0.653
Myanmar,Southeast Asia,59.302,0.876
Jordan,Middle East and North Africa,67,0.755
Chad,Sub-Saharan Africa,48.478,0.579
Sri Lanka,South Asia,67.299,0.841
Swaziland,Sub-Saharan Africa,50.833,0.647
Comoros,Sub-Saharan Africa,57.349,0.548
Egypt,Middle East and North Africa,61.998,0.749
Ethiopia,Sub-Saharan Africa,59,0.752
Mauritania,Sub-Saharan Africa,57.161,0.561
Madagascar,Sub-Saharan Africa,59.305,0.552
Togo,Sub-Saharan Africa,54.914,0.619
Zambia,Sub-Saharan Africa,55.809,0.782
Sierra Leone,Sub-Saharan Africa,51.651,0.717
India,South Asia,60.633,0.893
Burundi,Sub-Saharan Africa,53.4,0.626
Yemen,Middle East and North Africa,57.122,0.602
Tanzania,Sub-Saharan Africa,57.999,0.833
Haiti,Latin America and Caribbean,55.7,0.593
Malawi,Sub-Saharan Africa,57.948,0.78
Lesotho,Sub-Saharan Africa,48.7,0.715
Botswana,Sub-Saharan Africa,59.269,0.824
Rwanda,Sub-Saharan Africa,61.4,0.897
Zimbabwe,Sub-Saharan Africa,56.201,0.677
Afghanistan,South Asia,52.493,0.382
